reportID,speed,crashwith,svhit,cphit,severity,faultfrac,reasoning
13781-11507,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,AV stopped; struck by other party
13781-11459,8,Other Fixed Object,front right,,Minor W/O Hospitalization,0.9,AV struck fixed object; should detect and avoid
13781-11375,2,SUV,rear right,front right,Minor W/ Hospitalization,0.3,Both turning; shared fault likely
13781-11687,6,Other Fixed Object,front right,,Property Damage. No Injured Reported,0.9,AV struck fixed object; should detect and avoid
13781-11786,0,Non-Motorist: Cyclist,right,,Property Damage. No Injured Reported,0,AV stopped; struck by other party
13781-11787,27,Animal,front left,,No Injured Reported,0.5,Animal crossing; partially avoidable
13781-11784,6,Passenger Car,right,rear right,Property Damage. No Injured Reported,0.1,Other vehicle backed into AV
13781-11986,18,"Other, see Narrative",right,front right,Property Damage. No Injured Reported,0.4,AV proceeding; limited info from metadata
13781-13237,0,"Other, see Narrative",rear left + rear right,front right,No Injured Reported,0,AV stopped; struck by other party
13781-13647,17,Other Fixed Object,bottom,,Property Damage. No Injured Reported,0.9,AV struck fixed object; should detect and avoid
13781-13646,2,Other Fixed Object,bottom,,Property Damage. No Injured Reported,0.9,AV struck fixed object; should detect and avoid
13781-13648,0,Bus,front + left,front right,Property Damage. No Injured Reported,0,AV stopped; struck by other party
13781-13644,4,Heavy Truck,left,rear,Property Damage. No Injured Reported,0.8,AV drove into parked object
13781-13645,1,Pole / Tree,rear right,,Property Damage. No Injured Reported,0.9,AV struck fixed object; should detect and avoid
30270-11297,5,"Other, see Narrative",front right + bottom,unknown,Property Damage. No Injured Reported,0.9,AV drove into chain/barrier; should detect
30270-11244,8,SUV,front,front right,Property Damage. No Injured Reported,0.1,Other turned left into AV path
30270-11239,7,"Other, see Narrative",front right,unknown,Property Damage. No Injured Reported,0.9,AV drove into chain/barrier; should detect
30270-11193,2,Other Fixed Object,front right,,Property Damage. No Injured Reported,0.9,AV drove into chain/barrier; should detect
30270-11190,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11161,2,"Other, see Narrative",front,unknown,Property Damage. No Injured Reported,0.9,AV reversed into parked trailer; AV at fault
30270-11204,0,Van,front,front right,No Injured Reported,0,AV stationary; struck by other party
30270-11196,9,Pickup Truck,front left,front,Property Damage. No Injured Reported,0.1,Other entered traffic into AV path
30270-11171,0,Van,rear,right,Property Damage. No Injured Reported,0,Passenger opened door into traffic; not AV system fault
30270-11174,10,Other Fixed Object,bottom,,No Injured Reported,0.8,AV hit elevated gate track; should detect
30270-11189,0,Heavy Truck,rear,left,Property Damage. No Injured Reported,0.1,AV stopped on narrow road; other hit while passing
30270-11209,10,Other Fixed Object,bottom,,No Injured Reported,0.8,AV hit elevated gate track; should detect
30270-11291,5,Heavy Truck,left,right,Property Damage. No Injured Reported,0.1,Other turned right across AV lane
30270-11170,0,Passenger Car,front right,rear right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11213,0,Bus,left,right,Property Damage. No Injured Reported,0,Passenger opened door into traffic; not AV system fault
30270-11298,0,Heavy Truck,left,left,Property Damage. No Injured Reported,0.1,AV stopped on narrow road; other hit while passing
30270-11249,0,Pickup Truck,rear,right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11219,0,Heavy Truck,rear,left,Minor W/O Hospitalization,0,AV stationary; struck by passing vehicle
30270-11177,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; struck by other party
30270-11225,21,Passenger Car,right,front right,Property Damage. No Injured Reported,0.3,Both proceeding; other likely at fault
30270-11146,31,"Other, see Narrative",front + bottom,unknown,Property Damage. No Injured Reported,0.4,Debris from vehicle ahead; partially avoidable
30270-11175,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11295,1,Other Fixed Object,front right,,Property Damage. No Injured Reported,0.8,AV hit parking barrier arm; should have stopped
30270-11192,0,Passenger Car,rear,front right,Minor W/ Hospitalization,0,AV stationary; struck by passing vehicle
30270-11210,0,Passenger Car,rear,right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11163,0,Van,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11167,0,Passenger Car,front right,rear right,Property Damage. No Injured Reported,0,AV stationary; other vehicle reversed into AV
30270-11194,0,SUV,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11221,8,Pickup Truck,left,rear right,Property Damage. No Injured Reported,0.1,Other vehicle reversed into AV path
30270-11162,0,SUV,rear,front,Property Damage. No Injured Reported,0,AV stationary; other vehicle reversed into AV
30270-11216,0,Passenger Car,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11207,0,Passenger Car,left,right,Property Damage. No Injured Reported,0,Passenger opened door into traffic; not AV system fault
30270-11224,6,SUV,front left + right,left,Property Damage. No Injured Reported,0,AV passenger opened door hitting parked vehicle; not AV system fault
30270-11214,15,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11247,0,Heavy Truck,rear,left,Property Damage. No Injured Reported,0.1,AV stopped on narrow road; other hit while passing
30270-11195,6,"Other, see Narrative",front right,unknown,Property Damage. No Injured Reported,0.5,AV hit fallen utility line; hard to detect
30270-11218,0,Bus,left,front left,Property Damage. No Injured Reported,0,Passenger opened door into traffic; not AV system fault
30270-11245,0,SUV,rear right,front right,Minor W/O Hospitalization,0,AV stationary; rear-ended by other vehicle
30270-11246,10,Pickup Truck,left,front left,Property Damage. No Injured Reported,0.1,Other crossed lane line during left turn
30270-11172,22,SUV,left,front left,Property Damage. No Injured Reported,0.1,Other turned right across AV lane
30270-11208,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11173,0,Pickup Truck,front right + right,front right + rear right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11205,0,Non-Motorist: Cyclist,right,,Minor W/ Hospitalization,0,Passenger opened door into traffic; not AV system fault
30270-11212,0,SUV,rear right,front right,Minor W/O Hospitalization,0,AV stationary; rear-ended by other vehicle
30270-11250,0,Van,rear,right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11238,0,Passenger Car,rear left,front,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11276,0,SUV,rear,rear right,Property Damage. No Injured Reported,0,AV stationary; other vehicle reversed into AV
30270-11206,21,"Other, see Narrative",front right,unknown,Property Damage. No Injured Reported,0.3,Object fell from other vehicle; hard to avoid
30270-11275,39,"Other, see Narrative",front left + bottom,unknown,Property Damage. No Injured Reported,0.8,AV hit object in roadway; should detect and avoid
30270-11220,23,"Other, see Narrative",front right + bottom,unknown,Property Damage. No Injured Reported,0.8,AV hit object in roadway; should detect and avoid
30270-11160,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11379,7,Other Fixed Object,front right + bottom,,Property Damage. No Injured Reported,0.9,AV drove into chain/barrier; should detect
30270-11327,0,Passenger Car,rear right,front right,Minor W/O Hospitalization,0,AV stationary; rear-ended by other vehicle
30270-11381,22,Passenger Car,rear,front,Property Damage. No Injured Reported,0,Other made unprotected left turn into AV
30270-11417,12,Passenger Car,front left,front left,Property Damage. No Injured Reported,0,Other drove wrong way into AV
30270-11330,0,Pickup Truck,rear,right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11374,0,Passenger Car,front right,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11372,2,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11467,2,Other Fixed Object,front right,,Property Damage. No Injured Reported,0.8,AV hit parking barrier arm; should have stopped
30270-11362,0,Passenger Car,front right,rear right,Property Damage. No Injured Reported,0,AV stationary; other vehicle reversed into AV
30270-11414,0,Passenger Car,rear left,front,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11468,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11415,0,Pickup Truck,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11284,0,SUV,rear right,front left,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11413,0,Heavy Truck,rear left,front,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11400,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11365,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11328,0,Heavy Truck,rear right,front right,Minor W/O Hospitalization,0,AV stationary; struck by other party
30270-11418,0,SUV,front right,rear right,Property Damage. No Injured Reported,0,AV stationary; struck by other party
30270-11383,23,Passenger Car,front,right,Property Damage. No Injured Reported,0.1,Other changed lanes into AV
30270-11432,3,Heavy Truck,left,right,Property Damage. No Injured Reported,0.1,Other turned right into AV
30270-11384,0,SUV,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11358,0,First Responder Vehicle,rear,left,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11451,3,Heavy Truck,front left,front,Property Damage. No Injured Reported,0.1,Heavy truck encroached into AV lane
30270-11426,5,"Other, see Narrative",front,unknown,Property Damage. No Injured Reported,0.5,AV started moving as pedestrian pushed carts nearby
30270-11333,0,Bus,rear,rear,Property Damage. No Injured Reported,0.1,AV stopped on narrow road; other hit while passing
30270-11404,0,Passenger Car,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11371,1,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11402,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11302,11,Passenger Car,rear,front right,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11424,5,SUV,front,right,Property Damage. No Injured Reported,0.5,Two Waymo AVs collided in parking lot; shared fault
30270-11455,0,SUV,rear,left,Property Damage. No Injured Reported,0.1,AV stopped on narrow road; other hit while passing
30270-11282,0,Bus,left,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11323,16,Passenger Car,rear right,front right,Minor W/O Hospitalization,0,AV rear-ended by other vehicle
30270-11420,0,Bus,left,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11421,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11273,0,Heavy Truck,front,rear left,Minor W/O Hospitalization,0,AV stationary; struck by passing vehicle
30270-11373,0,Heavy Truck,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11378,0,Pickup Truck,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11401,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11279,1,Passenger Car,rear left,front left,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11361,4,"Other, see Narrative",front right,unknown,Unknown,0.3,Object fell from other vehicle; hard to avoid
30270-11430,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV stationary; rear-ended by other vehicle
30270-11329,0,Bus,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
30270-11422,7,"Other, see Narrative",bottom,unknown,Property Damage. No Injured Reported,0.7,AV hit small object in road; should detect
30270-11360,5,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11370,1,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,AV rear-ended by other vehicle
30270-11280,0,Passenger Car,rear right,front right,Minor W/O Hospitalization,0,AV stationary; struck by passing vehicle
30270-11344,0,Bus,rear,right,Property Damage. No Injured Reported,0,AV stationary; struck by passing vehicle
