reportID,speed,crashwith,svhit,cphit,severity,faultfrac,reasoning
30610-13662,0,Heavy Truck,front left + front right,rear + rear right,Property Damage. No Injured Reported,0.0,AV was stopped and honked; other vehicle reversed into it.
30610-13661,1,Pickup Truck,rear left + rear right,front + front right,Property Damage. No Injured Reported,0.0,AV braked for debris in lane; rear-ended by a close-following vehicle.
30610-13660,1,Passenger Car,front,rear left,Property Damage. No Injured Reported,0.0,AV was proceeding legally on green; other vehicle made an illegal right turn across its path.
30270-13511,0,Van,rear,right,Property Damage. No Injured Reported,0.0,AV was stationary at a red light; other vehicle hit it while attempting to pass.
30270-13308,35,Pickup Truck,rear,front left,Property Damage. No Injured Reported,0.0,AV was traveling in its lane; other vehicle merged into its lane and struck it.
30270-13557,0,Heavy Truck,front right,rear right,Property Damage. No Injured Reported,0.0,AV was stationary after attempting to reverse away; other vehicle reversed into it.
30270-13549,0,SUV,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stopped at a red light; rear-ended by another vehicle.
30270-13554,0,Heavy Truck,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stopped in traffic; rear-ended by a heavy truck.
30270-13564,0,Non-Motorist: Scooter - Skateboard,rear left,,Property Damage. No Injured Reported,0.0,AV was stopped yielding to pedestrians; rear-ended by a scooter.
30270-13548,12,Heavy Truck,rear,front left,Property Damage. No Injured Reported,0.0,AV was making a legal right turn; other vehicle made an illegal right turn from the left lane across its path.
30270-13515,0,Passenger Car,front right,rear right,Property Damage. No Injured Reported,0.0,AV was stationary and honked; vehicle in front reversed into it.
30270-13510,15,Passenger Car,rear left,front,Property Damage. No Injured Reported,0.0,AV was completing a lane change when another vehicle merged into its lane and hit its rear right side.
30270-13453,0,Bus,front right,rear right,Property Damage. No Injured Reported,0.0,AV was stationary in a turn lane; bus in front reversed into it.
30270-13450,0,SUV,rear,right,Property Damage. No Injured Reported,0.0,AV was stopped for a passenger drop-off; other vehicle hit it while attempting to pass.
30270-13451,0,Pickup Truck,rear,rear,Property Damage. No Injured Reported,0.0,AV was stationary yielding on a narrow street; other vehicle hit it while passing.
30270-13420,1,SUV,rear right,front right,Property Damage. No Injured Reported,0.0,AV was proceeding after a stop sign; rear-ended by another vehicle.
30270-13410,0,Pickup Truck,front right,rear,Property Damage. No Injured Reported,0.0,AV was stationary yielding; other vehicle reversed into it while parallel parking.
30270-13448,0,Van,front,rear,Property Damage. No Injured Reported,0.0,AV was stationary yielding; other vehicle traveling wrong way reversed into it.
30270-13403,13,SUV,front,front left,Property Damage. No Injured Reported,0.0,AV was making a legal left turn; other vehicle in adjacent turn lane crossed into AV's lane.
30270-13405,12,Passenger Car,rear left,front,Property Damage. No Injured Reported,0.0,AV was making a legal right turn; other vehicle went straight from a right-turn-only lane and struck it.
30270-13409,20,SUV,rear,front left,Property Damage. No Injured Reported,0.0,AV was making a legal left turn; other vehicle in adjacent turn lane crossed into AV's lane.
30270-13395,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stopped at a red light; rear-ended by another vehicle.
30270-13454,3,"Other, see Narrative",front,right,Property Damage. No Injured Reported,1.0,AV shifted left to merge into passing cable car
30270-13340,0,Pickup Truck,rear left,rear,Property Damage. No Injured Reported,0.0,AV was stationary at the curb; other vehicle reversed into it from a parking lot.
30270-13307,9,Pickup Truck,front,front left,Property Damage. No Injured Reported,0.0,AV was turning right near the curb; other vehicle in the same lane turned right across its path.
30270-13489,1,Heavy Truck,front right,rear right,Property Damage. No Injured Reported,0.0,AV was stationary after attempting to reverse away; heavy truck reversed into it.
30270-13401,0,Passenger Car,front right,rear right,Property Damage. No Injured Reported,0.0,AV was stationary in traffic; vehicle in front reversed into it.
30270-13400,0,Passenger Car,rear,left,Property Damage. No Injured Reported,0.0,AV was stationary for a pick-up; other vehicle hit it while attempting to pass.
30270-13408,0,Passenger Car,rear,right,Property Damage. No Injured Reported,0.0,AV was stationary in traffic; other vehicle hit it while changing lanes to pass.
30270-13416,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stopped at a red light; rear-ended by another vehicle.
30270-13331,0,SUV,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stopped at a flashing red light; rear-ended by another vehicle.
30270-13361,0,Heavy Truck,rear,front,Property Damage. No Injured Reported,0.0,AV was stationary at a red light; turning truck crossed the center line and struck it.
30270-13327,0,Heavy Truck,front right,rear right,Property Damage. No Injured Reported,0.0,AV was stationary in a turn lane; heavy truck in front reversed into it.
30270-13309,0,Passenger Car,rear,front left,Property Damage. No Injured Reported,0.0,AV was parked with hazard lights; other vehicle hit it while attempting to pass.
30270-13323,0,SUV,front,rear left,Property Damage. No Injured Reported,0.0,AV was stationary in traffic; vehicle in front reversed into it.
30270-13322,0,Motorcycle,left,front right,Property Damage. No Injured Reported,0.0,AV was stationary yielding; cyclist ran a stop sign and struck it.
30270-13321,0,Motorcycle,right,front,Property Damage. No Injured Reported,0.0,AV passenger opened door into the path of a motorcycle passing on the right; AV itself not at fault.
30270-13279,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stationary in traffic; rear-ended by another vehicle.
30270-13445,0,Passenger Car,front right,rear right,Property Damage. No Injured Reported,0.0,AV was parked at the curb; other vehicle reversed into it while parallel parking.
13781-13647,17,Other Fixed Object,bottom,,Property Damage. No Injured Reported,1.0,Redacted narrative; AV hit fixed object (bottom)
13781-13648,0,Bus,front + left,front right,Property Damage. No Injured Reported,0.0,Redacted narrative; SV speed was 0
13781-13646,2,Other Fixed Object,bottom,,Property Damage. No Injured Reported,1.0,Redacted narrative; AV backed over fixed object
13781-13645,1,Pole / Tree,rear right,,Property Damage. No Injured Reported,1.0,Redacted narrative; AV backed into pole/tree
13781-13644,4,Heavy Truck,left,rear,Property Damage. No Injured Reported,1.0,Redacted narrative; SV hit Parked CP
30270-13607,20,"Other, see Narrative",front right,unknown,Property Damage. No Injured Reported,0.0,AV struck a traffic cone intentionally thrown into its path by a passenger in another vehicle.
30270-13586,17,Passenger Car,left,front right,Property Damage. No Injured Reported,0.0,AV was proceeding legally through intersection; other vehicle ran a stop sign at high speed and struck it.
30270-13585,0,SUV,front left,front,Minor W/O Hospitalization,0.0,AV was stationary; struck by a vehicle that was pushed into it by a third speeding vehicle.
30270-13583,10,Other Fixed Object,bottom,,Property Damage. No Injured Reported,1.0,AV struck raised pavement in its path; single-vehicle incident.
30270-13581,0,Heavy Truck,rear,right,Property Damage. No Injured Reported,0.0,AV was stationary yielding to traffic; heavy truck hit it while attempting to pass.
30270-13582,11,Passenger Car,rear left,front left,Property Damage. No Injured Reported,0.0,AV proceeded after stopping at a stop sign; other vehicle ran its stop sign and struck the AV.
30270-13575,4,Passenger Car,front,front left,Property Damage. No Injured Reported,0.0,AV was slowing in its lane; other vehicle lost control while turning and crossed into AV's lane.
30270-13573,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,AV was stopped at a stop sign; rear-ended by another vehicle.
30270-13571,0,Van,rear,right,Property Damage. No Injured Reported,0.0,Waymo was stationary and parked with hazard lights; van hit it while passing.
30270-13560,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,Waymo was rear-ended while stationary at an intersection.
30270-13559,5,Other Fixed Object,bottom,,Property Damage. No Injured Reported,1.0,Waymo AV hit a stationary speed bump causing damage to its undercarriage.
30270-13556,0,Pickup Truck,rear,front,Property Damage. No Injured Reported,0.0,Waymo was stationary at a red light; pickup truck hit it while turning.
30270-13552,20,"Other, see Narrative",bottom,unknown,Property Damage. No Injured Reported,1.0,Waymo AV hit a stationary speed bump causing damage to its undercarriage.
30270-13550,0,SUV,rear right,front right,Minor W/O Hospitalization,0.0,Waymo was stationary and rear-ended due to a multi-vehicle collision behind it.
30270-13558,2,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,Waymo was rear-ended while yielding to oncoming traffic.
30270-13547,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0.0,Waymo was rear-ended while stationary at a red light.
30270-13545,0,SUV,rear right,front right,Minor W/O Hospitalization,0.0,Waymo was rear-ended while stationary at a red light.
30270-13546,28,Passenger Car,right,front,Property Damage. No Injured Reported,0.0,Passenger car turned right on red into the path of the Waymo AV which had a green light.
30270-13544,0,SUV,rear,right,Property Damage. No Injured Reported,0.0,Waymo was stationary yielding to traffic; SUV hit it while passing.
30270-13543,0,Passenger Car,rear left,front,Minor W/O Hospitalization,0.0,Waymo was stationary at a red light; passenger car hit it from behind at high speed.
30270-13542,0,Heavy Truck,right,rear,Property Damage. No Injured Reported,0.0,Waymo was stationary yielding to a reversing truck which backed into it.
30270-13541,0,Pickup Truck,front,front left,Property Damage. No Injured Reported,0.0,Waymo was stationary yielding to traffic; pickup truck hit it from behind.
30270-13540,0,Pickup Truck,rear left,right,Property Damage. No Injured Reported,0.0,Waymo was stationary; pickup truck hit it while passing.
30270-13539,0,First Responder Vehicle,rear,left,Property Damage. No Injured Reported,0.0,Waymo was stationary yielding to a fire engine which hit it while turning.
30270-13538,0,Passenger Car,left,right,Property Damage. No Injured Reported,0.0,Waymo passenger opened door into traffic but other car was passing in opposing lane. AV itself not at fault.
30270-13514,25,Other Fixed Object,front right,,Property Damage. No Injured Reported,1.0,AV hit stationary fallen utility line
30270-13513,0,Heavy Truck,front,rear left,Property Damage. No Injured Reported,0.0,Waymo was stationary when the truck reversed into it.
30270-13512,0,Heavy Truck,rear,left,Property Damage. No Injured Reported,0.0,Waymo was stationary yielding to a truck which hit it while passing.
30270-13507,0,Heavy Truck,front,right,Property Damage. No Injured Reported,0.0,Truck made an improper right turn from the left lane across the Waymo AV's path; Waymo was stationary when hit.
30270-13495,0,SUV,rear right,front right,Minor W/ Hospitalization,0.0,Waymo was rear-ended while stationary at a red light.
30270-13491,0,Van,rear right,front right,Minor W/ Hospitalization,0.0,Waymo was stationary at the curb; van hit it from behind.
30270-13490,9,SUV,rear right,front right,Minor W/O Hospitalization,0.0,Waymo was rear-ended while slowing for a traffic signal.
30270-13506,25,"Other, see Narrative",front,unknown,Property Damage. No Injured Reported,1.0,AV hit stationary debris
