reportID,speed,crashwith,svhit,cphit,severity,faultfrac,reasoning
13781-13647,17,Other Fixed Object,bottom,,Property Damage. No Injured Reported,0.75,Tesla pulled over with sudden flat tire and clipped curb during emergency maneuver
13781-13644,4,Heavy Truck,left,rear,Property Damage. No Injured Reported,1,Tesla mirror clipped parked tow truck in tight street
13781-13645,1,Pole / Tree,rear right,,Property Damage. No Injured Reported,1,Tesla backed into wooden electrical pole
13781-13646,2,Other Fixed Object,bottom,,Property Damage. No Injured Reported,1,Tesla backed into curb in parking lot
13781-13648,0,Bus,front + left,front right,Property Damage. No Injured Reported,0,Tesla stopped at red light; bus bike rack sideswiped during right turn
13781-14043,9,Other Fixed Object,left + bottom,,Property Damage. No Injured Reported,0,Teleoperator drove Tesla into construction barricade
13781-11375,2,SUV,rear right,front right,Minor W/ Hospitalization,0,Tesla creeping forward in slip lane; rear-ended by SUV
13781-11459,8,Other Fixed Object,front right,,Minor W/O Hospitalization,0,Teleoperator drove Tesla up curb into metal fence
13781-11507,0,SUV,rear right,front right,Property Damage. No Injured Reported,0,Tesla stopped at red light; rear-ended by SUV
13781-14630,0,Pickup Truck,rear right,front right,Property Damage. No Injured Reported,0,Tesla stopped at stop sign; rear-ended by pickup truck
13781-14631,0,Passenger Car,rear right,front right,Property Damage. No Injured Reported,0,Tesla stopped in left-turn lane on flashing yellow; rear-ended by car
13781-13237,0,"Other, see Narrative",rear left + rear right,front right,No Injured Reported,0,Tesla stopped at red light; scooter rider scraped rear and hopped curb
13781-11986,18,"Other, see Narrative",right,front right,Property Damage. No Injured Reported,1,Tesla mirror struck trailer gooseneck hitch protruding into street
13781-11687,6,Other Fixed Object,front right,,Property Damage. No Injured Reported,1,Tesla drove into metal chain at parking lot entrance
13781-11784,6,Passenger Car,right,rear right,Property Damage. No Injured Reported,0,Car illegally reversed wrong-way in parking lot into Tesla
13781-11786,0,Non-Motorist: Cyclist,right,,Property Damage. No Injured Reported,0,Tesla stopped at red light; pedicab clipped right mirror
13781-11787,27,Animal,front left,,No Injured Reported,0,Dog darted into intersection at 27mph; Tesla braked and biased left
30610-7819,13,Passenger Car,front right,front left + left,Minor,0,Parked car abruptly pulled into Zoox's lane without signal; unavoidable
30610-9963,0,Passenger Car,front left,left,No Injuries Reported,0,Zoox double-parked with hazards; car doing U-turn clipped it
30610-10246,0,Passenger Car,rear,front,No Injuries Reported,0,Zoox stopped at red light; rear-ended by inattentive SUV
30610-10399,9,Non-Motorist: Cyclist,right,,No Injuries Reported,0,Cyclist ran red crosswalk signal and veered into Zoox path
30610-10473,11,Passenger Car,front right,front left,No Injuries Reported,0.4,Zoox steered right anticipating V2 left turn; V2 abruptly stopped in shoulder
30610-10711,0,"Other, see Narrative",rear right,front,Minor,0,Zoox stopped during right turn; e-scooterist struck rear right
30610-11096,1,SUV,rear left,front right,No Injuries Reported,0,Zoox braked for traffic cones; rear-ended by following SUV
30610-11513,0,Non-Motorist: Cyclist,rear left,,No Injured Reported,0,Zoox stopped yielding to e-cyclist; cyclist veered into rear
