reportID,speed,crashwith,svhit,cphit,severity,faultfrac,reasoning
30610-13662,0.0,Heavy Truck,Front Left|Front Right,Rear|Rear Right,Property Damage. No Injured Reported,0.0,AV was stopped and honked; other vehicle reversed into it.
30610-13661,1.0,Pickup Truck,Rear Left|Rear Right,Front|Front Right,Property Damage. No Injured Reported,0.0,AV braked for debris in lane; rear-ended by a close-following vehicle.
30610-13660,1.0,Passenger Car,Front,Rear Left,Property Damage. No Injured Reported,0.0,AV was proceeding legally on green; other vehicle made an illegal right turn across its path.
30270-13511,0.0,Van,Rear,Right,Property Damage. No Injured Reported,0.0,AV was stationary at a red light; other vehicle hit it while attempting to pass.
30270-13308,35.0,Pickup Truck,Rear,Front Left,Property Damage. No Injured Reported,0.0,AV was traveling in its lane; other vehicle merged into its lane and struck it.
30270-13557,0.0,Heavy Truck,Front Right,Rear Right,Property Damage. No Injured Reported,0.0,AV was stationary after attempting to reverse away; other vehicle reversed into it.
30270-13549,0.0,SUV,Rear Right,Front Right,Property Damage. No Injured Reported,0.0,AV was stopped at a red light; rear-ended by another vehicle.
30270-13554,0.0,Heavy Truck,Rear Right,Front Right,Property Damage. No Injured Reported,0.0,AV was stopped in traffic; rear-ended by a heavy truck.
30270-13564,0.0,Non-Motorist: Scooter - Skateboard,Rear Left,,Property Damage. No Injured Reported,0.0,AV was stopped yielding to pedestrians; rear-ended by a scooter.
30270-13548,12.0,Heavy Truck,Rear,Front Left,Property Damage. No Injured Reported,0.0,AV was making a legal right turn; other vehicle made an illegal right turn from the left lane across its path.
30270-13515,0.0,Passenger Car,Front Right,Rear Right,Property Damage. No Injured Reported,0.0,AV was stationary and honked; vehicle in front reversed into it.
30270-13510,15.0,Passenger Car,Rear Left,Front,Property Damage. No Injured Reported,0.0,AV was completing a lane change when another vehicle merged into its lane and hit its rear right side.
30270-13453,0.0,Bus,Front Right,Rear Right,Property Damage. No Injured Reported,0.0,AV was stationary in a turn lane; bus in front reversed into it.
30270-13450,0.0,SUV,Rear,Right,Property Damage. No Injured Reported,0.0,AV was stopped for a passenger drop-off; other vehicle hit it while attempting to pass.
30270-13451,0.0,Pickup Truck,Rear,Rear,Property Damage. No Injured Reported,0.0,AV was stationary yielding on a narrow street; other vehicle hit it while passing.
30270-13420,1.0,SUV,Rear Right,Front Right,Property Damage. No Injured Reported,0.0,AV was proceeding after a stop sign; rear-ended by another vehicle.
30270-13410,0.0,Pickup Truck,Front Right,Rear,Property Damage. No Injured Reported,0.0,AV was stationary yielding; other vehicle reversed into it while parallel parking.
30270-13448,0.0,Van,Front,Rear,Property Damage. No Injured Reported,0.0,AV was stationary yielding; other vehicle traveling wrong way reversed into it.
30270-13403,13.0,SUV,Front,Front Left,Property Damage. No Injured Reported,0.0,AV was making a legal left turn; other vehicle in adjacent turn lane crossed into AV's lane.
30270-13405,12.0,Passenger Car,Rear Left,Front,Property Damage. No Injured Reported,0.0,AV was making a legal right turn; other vehicle went straight from a right-turn-only lane and struck it.
30270-13409,20.0,SUV,Rear,Front Left,Property Damage. No Injured Reported,0.0,AV was making a legal left turn; other vehicle in adjacent turn lane crossed into AV's lane.
30270-13395,0.0,Passenger Car,Rear Right,Front Right,Property Damage. No Injured Reported,0.0,AV was stopped at a red light; rear-ended by another vehicle.
30270-13454,3.0,"Other, see Narrative",Front,Right,Property Damage. No Injured Reported,1.0,AV shifted left to merge into passing cable car
30270-13340,0.0,Pickup Truck,Rear Left,Rear,Property Damage. No Injured Reported,0.0,AV was stationary at the curb; other vehicle reversed into it from a parking lot.
30270-13307,9.0,Pickup Truck,Front,Front Left,Property Damage. No Injured Reported,0.0,AV was turning right near the curb; other vehicle in the same lane turned right across its path.
30270-13489,1.0,Heavy Truck,Front Right,Rear Right,Property Damage. No Injured Reported,0.0,AV was stationary after attempting to reverse away; heavy truck reversed into it.
30270-13401,0.0,Passenger Car,Front Right,Rear Right,Property Damage. No Injured Reported,0.0,AV was stationary in traffic; vehicle in front reversed into it.
30270-13400,0.0,Passenger Car,Rear,Left,Property Damage. No Injured Reported,0.0,AV was stationary for a pick-up; other vehicle hit it while attempting to pass.
30270-13408,0.0,Passenger Car,Rear,Right,Property Damage. No Injured Reported,0.0,AV was stationary in traffic; other vehicle hit it while changing lanes to pass.
30270-13416,0.0,Passenger Car,Rear Right,Front Right,Property Damage. No Injured Reported,0.0,AV was stopped at a red light; rear-ended by another vehicle.
30270-13331,0.0,SUV,Rear Right,Front Right,Property Damage. No Injured Reported,0.0,AV was stopped at a flashing red light; rear-ended by another vehicle.
30270-13361,0.0,Heavy Truck,Rear,Front,Property Damage. No Injured Reported,0.0,AV was stationary at a red light; turning truck crossed the center line and struck it.
